deathplaces appears as 1	primary heb full in Kima	times
Sátoraljaújhely (Hungary)	אוהל (הונגריה)	6
Scandiano (Italy)	סקנדיאנו (איטליה)	1
Scarsdale (N.Y.)	סקרסדייל (ניו יורק)	1
Sceaux (Hauts-de-Seine, France)	סו (הוטס-דה-סן, צרפת)	1
Scheveningen (Netherlands)	סכוונינגן (הולנד)	1
Scottsdale (Ariz.)	סקוטסדייל (אריזונה)	1
Seattle (Wash.)	סיאטל (ושינגטון)	2
Sečovce (Slovakia)	סצ'ובצה (סלובקיה)	1
Sedan (France)	סדאן (צרפת)	1
Sede Boker (Israel)	שדה בוקר (ישראל)	1
Sede Eliyahu (Israel)	שדה אליהו (ישראל)	2
Sede Nahum (Israel)	שדה נחום (ישראל)	6
Sede Ya'akov (Israel)	שדה יעקב (ישראל)	1
Šeduva (Lithuania)	שדובה (ליטא)	2
Sędziszów (Poland)	סאנדזישוב (פולין)	3
Sefrou (Morocco)	צפרו (מרוקו)	7
Segovia (Spain)	סגוביה (ספרד)	1
Seini (Romania)	סיניע (רומניה)	1
Seirijai (Lithuania)	סרהיי (ליטא)	1
Sejny (Poland)	סיני (פולין)	1
Selsey (West Sussex, England)	סלסי (מערב סאסקס, אנגליה)	1
Senica (Slovakia)	סניצה (סלובקיה)	1
Senta (Serbia)	זנטה (סרביה)	1
Seoul (Korea)	סיאול (קוריאה)	4
Serbia	סרביה	1
Serock (Warsaw, Poland)	סרוצק (ורשה, פולין)	1
Sevastopolʹ (Ukraine)	סבסטופול (אוקראינה)	1
Seville (Spain)	סויליה (ספרד)	1
Sèvres (France)	סוור (צרפת)	1
Sha'alvim (Israel)	שעלבים (ישראל)	1
Sha'ar Ha'amakim (Israel)	שער העמקים (ישראל)	2
Shchuchyn (Belarus)	שצ'וצ'ין (בלארוס)	1
Sheluhot (Israel)	שלוחות (ישראל)	1
Shereshevo (Belarus)	שערשעוו (בלארוס)	1
Shīrāz (Iran)	שיראז (איראן)	1
Shivta (Extinct city) (Israel)	שבטה (עיר קדומה) (ישראל)	1
Shkloŭ (Belarus)	שקלוב (בלארוס)	4
Shoham (Israel)	שוהם (ישראל)	1
Šiauliai (Lithuania)	שול (ליטא)	11
Sibiu (Romania)	סיביו (רומניה)	1
Siedlce (Poland)	שדלץ (פולין)	11
Siena (Italy)	סיינה (איטליה)	2
Sieniawa (Przemyśl, Poland)	שיניוה (פשמישל, פולין)	4
Sierpc (Poland : Powiat)	שרפץ (פולין : מחוז)	1
Sighet (Romania)	סיגט (רומניה)	8
Sighetu Marmației (Romania)	סיגטו מרמציי (רומניה)	4
Sighișoara (Romania)	סיגישוארה (רומניה)	1
Sils im Engadin (Switzerland)	סילס אם אנגדין (שווייץ)	1
Silver Spring (Md.)	סילבר ספרינג (מרילנד)	1
Simferopol (Ukraine)	סימפרופול (אוקראינה)	2
Simleul-Silvaniei (Romania)	שימלאו סילבאניי (רומניה)	2
Singapore	סינגפור	1
Siponto (Italy)	סיפונטו (איטליה)	1
Siret (Romania)	סירט (רומניה)	1
Skopje (Macedonia)	סקופיה (מקדוניה)	2
Slavkov u Brna (Czech Republic)	סלאוקוב או ברנא (צ'כיה)	1
Slonim (Belarus)	סלונים (בלארוס)	14
Slovakia	סלובקיה	1
Slutsk (Belarus)	סלוצק (בלארוס)	6
Smila (Cherkasʹka oblastʹ, Ukraine)	סמילה (מחוז צ'רקסקה, אוקראינה)	2
Smolensk (Russia)	סמולנסק (רוסיה)	1
Smorgon (Belarus)	סמרגון (בלארוס)	2
Sni︠a︡tyn (Ukraine)	שניאטין (אוקראינה)	2
Sochaczew (Poland)	סוכטשוב (פולין)	1
Sofia (Bulgaria)	סופיה (בולגריה)	8
Soho (London, England)	סוהו (לונדון, אנגליה)	1
Sokalʹ (Ukraine)	סוקאל (אוקראינה)	2
Sokołów Podlaski (Poland)	סוקולוב פודלסקי (פולין)	1
Sokyri︠a︡ny (Ukraine)	סקורן (אוקראינה)	1
Soroca (Moldova)	סורוקה (מולדובה)	1
Sosnowiec (Wojewodztwo Slaskie, Poland)	סוסנוביץ (שלזיה, פולין)	2
South Africa	דרום אפריקה	1
South Brunswick (N.J. : Township)	סאות ברונסויק (ניו ג'רזי)	1
Southampton (England)	סאות'המפטון (אנגליה)	1
Southport (England)	סאותפורט (אנגליה)	1
Soviet Union	ברית המועצות	44
Spain	ספרד	8
Speyer (Germany)	שפייר (גרמניה)	1
Split (Croatia)	ספליט (קרואטיה)	1
Stabiae (Extinct city)	סטביה (עיר קדומה)	1
Stamford (Conn.)	סטמפורד (קונטיקט)	1
Stanford (Calif.)	סטנפורד (קליפורניה)	1
Stanislav (Ukraine)	סטניסלב (אוקראינה)	9
Starai︠a︡ Russa (Russia)	סטאראיה רוסה (רוסיה)	1
Starodub (Russia)	סטארודוב (רוסיה)	1
Starokosti︠a︡ntyniv (Ukraine)	סטארוקוסטיאנטיניב (אוקראינה)	1
Staryĭ Sambir (Ukraine)	סטארי סמביר (אוקראינה)	3
Stawiski (Poland)	סטויסק (פולין)	3
Steglitz (Berlin, Germany)	שטיגליץ (ברלין, גרמניה)	1
Stettin (Germany)	שטטין (גרמניה)	1
Stockholm (Sweden)	סטוקהולם (שבדיה)	18
Stolin (Belarus)	סטולין (בלארוס)	1
Strakonice (Czech Republic)	סטרקוניצ'ה (צ'כיה)	1
Strasbourg (France)	שטרסבורג (צרפת)	2
Stratford-upon-Avon (England)	סטרטפורד על נהר אייבון (אנגליה)	2
Stratyn (Ukraine)	סטראטין (אוקראינה)	1
Stryĭ (Ukraine)	סטריי (אוקראינה)	12
Strzyżów (Rzeszów, Poland)	סטז'יז'וב (פולין)	2
Stupava (Slovakia)	שטומפה (סלובקיה)	1
Stuttgart (Germany)	שטוטגרט (גרמניה)	4
Subotica (Subotica, Serbia)	סובוטיקה (סובוטיקה, סרביה)	1
Suceava (Romania)	שוץ (רומניה)	1
Sudova Vyshni︠a︡ (Ukraine)	סונדובה וישניא (אוקראינה)	1
Sulzburg (Germany)	זולצבורג (גרמניה)	1
Šurany (Slovakia)	סורני (סלובקיה)	2
Suwałki (Poland)	סובלקי (פולין)	8
Svaliava (Ukraine)	סבליאבה (אוקראינה)	2
Švenčionys (Lithuania)	שוינצין (ליטא)	1
Svir (Belarus)	סויר (בלארוס)	1
Svislach (Hrodzenskaia voblasts, Belarus)	סוויסלוץ' (מחוז הורדנה, בלארוס)	1
Swampscott (Mass.)	סוומפסקוט (מסצ'וסטס)	1
Switzerland	שווייץ	4
Sydney (N.S.)	סידני (נובה סקוטיה)	1
Sydney (N.S.W.)	סידני (אוסטרליה)	5
Syracuse (Italy)	סירקיוז (איטליה)	1
Syzranʹ (Russia)	סיזרן (רוסיה)	1
Szczebrzeszyn (Poland)	שצ'בז'שין (פולין)	3
Szczekociny (Poland)	שצ'קוצ'ין (פולין)	1
Szecseny (Hungary)	סצ'ני (הונגריה)	2
Szeged (Hungary)	סגד (הונגריה)	1
Szeghalom (Hungary)	סגהלום (הונגריה)	1
Székesfehérvár (Hungary)	סקשפהרור (הונגריה)	1
Szerencs (Hungary)	סרנץ' (הונגריה)	2
Szikszó (Hungary)	סיקסו (הונגריה)	1
Szombathely (Hungary)	סומבטהי (הונגריה)	1
Szydłów (Województwo Świętokrzyskie, Poland)	שידלוב (פולין)	1
Szydłowiec (Województwo Mazowieckie, Poland)	שידלוביץ (מדינת מזובייצק, פולין)	1
Tab (Hungary)	טאב (הונגריה)	3
Tabrīz (Iran)	תבריז (איראן)	1
Taipei (Taiwan)	טייפה (טאיוואן)	1
Tal'ne (Ukraine)	טלנה (אוקראינה)	1
Talavera de la Reina (Spain)	טלוורה דה לה ריינה (ספרד)	1
Tallinn (Estonia)	טאלין (אסטוניה)	1
Tállya (Hungary)	טאליה (הונגריה)	1
Tampa (Fla.)	טמפה (פלורידה)	1
Tangier (Morocco)	טנג'יר (מרוקו)	2
Tarashcha (Ukraine)	טרשצ'ה (אוקראינה)	1
Tarnobrzeg (Poland)	טרנובז'ג (פולין)	4
Tashkent (Uzbekistan)	טשקנט (אוזבקיסטן)	1
Tasnad (Romania)	טשנד (רומניה)	1
Tass (Hungary)	טאש (הונגריה)	1
Tehran (Iran)	טהרן (איראן)	1
Tel Adashim (Israel)	תל עדשים (ישראל)	1
Tel Aviv-Yafo (Israel)	תל אביב-יפו (ישראל)	970
Tel Hai (Israel)	תל חי (ישראל)	2
Tel Hashomer (Ramat Gan, Israel)	תל השומר (רמת גן, ישראל)	3
Tel Katsir (Israel)	תל קציר (ישראל)	2
Tel Mond (Israel)	תל מונד (ישראל)	2
Tel-Yosef (Israel)	תל יוסף (ישראל)	6
Telenești (Moldova : Raionul)	טלנשטי (מולדובה : מחוז)	1
Telouet (Morocco)	תילונת (מרוקו)	1
Telšiai (Lithuania)	טלז (ליטא)	7
Teplice (Czech Republic)	טפליצה (צ'כיה)	1
Terebovli︠a︡ (Ukraine)	טרמבובלה (אוקראינה)	1
Terezín (Ústecký kraj, Czech Republic)	טרזין (מחוז אוסטי נד לבם, צ'כיה)	1
Ternopilʹ (Ukraine)	טרנופול (אוקראינה)	17
Teruel (Spain)	טרואל (ספרד)	1
Thessalonikē (Greece)	סלוניקי (יוון)	97
Tiberias (Israel)	טבריה (ישראל)	60
Tileagd (Romania)	טעלעגד (רומניה)	1
Tilsit (Germany)	טילזיט (גרמניה)	1
Timisoara (Romania)	טימישוארה (רומניה)	5
Tirat Tsvi (Israel)	טירת צבי (ישראל)	2
Tire (Turkey)	טירה (טורקיה)	1
Tirgu-Mures (Romania)	מרושושרהלי (רומניה)	2
Tiszafüred (Hungary)	טיסאפורד (הונגריה)	3
Tiszaigar (Hungary)	טיסא-איגאר (הונגריה)	1
Tiszavasvári (Hungary)	טיסושוארי (הונגריה)	2
Tlemcen (Algeria)	תלמסן (אלג'יריה)	3
Todi (Italy)	טודי (איטליה)	1
Tokaj (Hungary)	טוקאי (הונגריה)	5
Tokyo (Japan)	טוקיו (יפן)	3
Tolcsva (Hungary)	טולצ׳בה(הונגריה)	1
Toledo (Ohio)	טולדו (אוהיו)	1
Toledo (Spain)	טולדו (ספרד)	6
Tolna (Hungary)	טולנה (הונגריה)	3
Tomaszów Lubelski (Poland)	טומשוב לובלסקי (פולין)	1
Tomsk (Russia)	טומסק (רוסיה)	1
Topol̕čany (Slovakia)	טופולצ'ני (סלובקיה)	2
Toronto (Ont.)	טורונטו (אונטריו)	32
Toruń (Poland)	טורן (פולין)	1
Tours (France)	טור (צרפת)	1
Trakai (Lithuania)	טראקאי (ליטא)	1
Trawniki (Lublin, Poland)	טרווניקי (לובלין, פולין)	1
Třebíč (Czech Republic)	טרביץ' (צ'כיה)	1
Treblinka (Poland)	טרבלינקה (פולין)	14
Trenčín (Západoslovenský kraj, Slovakia)	טרנצ'ין (סלובקיה)	3
Třešt̕ (Czech Republic)	טרסט (צ'כיה)	1
Treviso (Italy)	טרוויזו (איטליה)	1
Trieste (Italy)	טריסטה (איטליה)	15
Trinidad	טרינידד	1
Tripoli (Libya)	טריפולי (לוב)	15
Troyes (France)	טרויש (צרפת)	1
Trzcianka (Piła, Poland)	שנלנק (פולין)	1
Trzcianne (Poland)	טרעסטיני (פולין)	1
Trzebinia (Kraków, Poland)	טשבין (קרקוב, פולין)	1
Tse'elim (Israel)	צאלים (ישראל)	1
Tsefat (Israel)	צפת (ישראל)	77
Tsofit (Israel)	צופית (ישראל)	1
Tsur Moshe (Israel)	צור משה (ישראל)	1
Tübingen (Germany)	טיבינגן (גרמניה)	3
Tucson (Ariz.)	טוסון (אריזונה)	3
Tulsa (Okla.)	טולסה (אוקלהומה)	2
Tunbridge Wells (England)	טונברידג' וולס (אנגליה)	1
Tunis (Tunisia)	תוניס (תוניסיה)	48
Tunisia	תוניסיה	1
Turets (Belarus)	טורעץ (בלארוס)	1
Turin (Italy)	טורינו (איטליה)	7
Turka (Lʹvivsʹka oblastʹ, Ukraine)	טורקא (אוקראינה)	4
Turkey	טורקיה	2
Tuskegee (Ala.)	טוסקגי (אלבמה)	1
Twickenham (London, England)	טוויקנהאם (לונדון, אנגליה)	1
Tyczyn (Rzeszów, Poland)	טיצ'ין (רישא, פולין)	2
Tykocin (Poland)	טיקוצין (פולין)	3
Tyre (Lebanon)	צור (לבנון)	1
Tysmenyt︠s︡i︠a︡ (Ukraine)	טיסמניץ (אוקראינה)	4
Uccle (Belgium)	אוקל (בלגיה)	2
Udim (Israel)	אודים (ישראל)	2
Uherský Brod (Czech Republic)	אורסקי ברוד (צ'כיה)	3
Újfehértó (Hungary)	רצפרטה (הונגריה)	1
Ukmerge (Lithuania)	אוקמרגה (ליטא)	5
Ukraine	אוקראינה	2
Ulashkivtsi (Ukraine)	אולאשקובצה (אוקראינה)	1
Ulm (Germany)	אולם (גרמניה)	1
Umanʹ (Ukraine)	אומן (אוקראינה)	3
United States	ארצות הברית	27
Unkel/Rhein (Germany)	אונקל/ריין (גרמניה)	1
Urfa (Turkey)	אורפה (טורקיה)	1
Úsov (Czech Republic)	אוסזי (צ'כיה)	1
Ustrzyki Dolne (Poland)	איסטריק (פולין)	1
Ustyluh (Ukraine)	אוסטילה (אוקראינה)	1
Uzès (France)	אוזס צרפת	1
Uz︠h︡horod (Ukraine)	אונגור (אוקראינה)	6
Vác (Hungary)	ויצן (הונגריה)	6
Valencia (Spain)	ולנסיה (ספרד)	2
Valladolid (Spain)	ואיאדוליד (ספרד)	1
Valozhyn (Belarus)	וולוז'ין (בלארוס)	2
Varna (Bulgaria)	ורנה (בולגריה)	1
Várpalota (Hungary)	ורפלוטה (הונגריה)	1
Vasilishki (Belarus)	וסילישקי (בלארוס)	1
Vaŭkavysk (Belarus)	וולקוביסק (בלארוס)	3
Vauvert (France)	וואוברט (צרפת)	1
Velha Goa (India)	גואה העתיקה (הודו)	1
Vence (France)	ואנס (צרפת)	1
Venice (Italy)	ונציה (איטליה)	35
Vermont	ורמונט	1
Verona (Italy)	ורונה (איטליה)	4
Verpelét (Hungary)	ווערפעלעט (הונגריה)	1
Versailles (France)	ורסיי (צרפת)	3
Verson (France)	ורסון (צרפת)	1
Veszprém (Hungary)	וספרם (הונגריה)	1
Vevey (Switzerland)	ווה (שווייץ)	4
Vézelay (France)	ווזלה (צרפת)	1
Vidzy (Belarus)	וידז (בלארוס)	1
Viekšniai (Lithuania)	ווקסנא (ליטא)	1
Vienna (Austria)	וינה (אוסטריה)	157
Vileĭka (Minskai︠a︡ voblastsʹ, Belarus)	ווילייקה (מחוז מינסק, בלארוס)	2
Vilkaviškis (Lithuania)	וילקובישק (ליטא)	1
Villemomble (France)	וילמומבל (צרפת)	1
Vilnius (Lithuania)	וילנה (ליטא)	150
Vinnyt︠s︡ʹka oblastʹ (Ukraine)	מחוז ויניצה (אוקראינה)	1
Vinnyt︠s︡i︠a︡ (Ukraine)	ויניצה (אוקראינה)	1
Virbalis (Lithuania)	וירבלן (ליטא)	1
Vișeu de Sus (Romania)	וישאו דה סוס (רומניה)	4
Visp (Switzerland)	וויספ (שווייץ)	1
Vištytis (Lithuania)	ווישטינץ (ליטא)	1
Vitsebskai︠a︡ voblastsʹ (Belarus)	מחוז ויטבסק (בלארוס)	7
Vladivostok (Russia)	ולדיווסטוק (רוסיה)	1
Vlčany (Slovakia)	פורקושד (סלובקיה)	1
Vojvodina (Serbia)	וויבודינה (סרביה)	1
Volhynia (Ukraine)	ווהלין (אוקראינה)	1
Vrbové (Slovakia)	ורבובה (סלובקיה)	1
Všeruby (Domažlice, Czech Republic)	ושרובי (צ'כיה)	1
Vuzlove (Zakarpatsʹka oblastʹ, Ukraine)	ווזלובה (מחוז זקרפטיה, אוקראינה)	1
Vynohradiv (Ukraine)	וינוגרדוב (אוקראינה)	3
Vyz︠h︡nyt︠s︡i︠a︡ (Ukraine)	ויז'ניץ (אוקראינה)	3
Wallingford (England)	וולינגפורד (אנגליה)	1
Walsdorf (Idstein, Germany)	וולסדורף (אידשטיין, גרמניה)	1
Waltham (Mass.)	וולתם (מסצ'וסטס)	1
Wandsbek (Germany)	ונדזבק (גרמניה)	2
Wanfried (Germany)	ונפרידן (גרמניה)	1
Wannsee (Berlin, Germany)	ואנזה (ברלין, גרמניה)	1
Warm Springs (Ga.)	ווארם ספרינגס (ג'ורג'יה)	1
Warsaw (Poland)	ורשה (פולין)	241
Warta (Poland)	וארטה (פולין)	1
Washington (D.C.)	ושינגטון (די. סי.)	4
Wasilków (Poland)	וסילקוב (פולין)	1
Watford (England)	ווטפורד (אנגליה)	1
Węgrów (Poland)	ונגרוב (פולין)	6
Wellington (N.Z.)	ולינגטון (ניו זילנד)	1
Wels (Austria)	וולס (אוסטריה)	1
West Hollywood (Calif.)	מערב הוליווד (קליפורניה)	1
West Palm Beach (Fla.)	מערב פאלם ביץ' (פלורידה)	1
Westminster (London, England)	ווסטמינסטר (לונדון, אנגליה)	1
Widawa (Poland)	וידווה (פולין)	1
Wieliczka (Poland)	ויליצ'קה (פולין)	2
Wieluń (Łódź, Poland)	ויילון (מחוז לודז, פולין)	1
Wiesbaden (Germany)	וויסבאדן (גרמניה)	2
Wilkes-Barre (Pa.)	ווילקס-באר (פנסילבניה)	1
Williamsburg (New York, N.Y.)	וילימסבורג (ניו יורק, נ.י. : שכונה)	1
Winnipeg (Man.)	וויניפג (מניטובה)	6
Wisconsin	ויסקונסין	3
Wiskitki (Poland)	ויסקיט (פולין)	2
Włocławek (Poland)	ולוצלאווק (פולין)	2
Wodzisław (Poland)	וודז'יסלאב (פולין)	2
Wolbórz (Poland)	וולברז (פולין)	1
Wolfenbüttel (Germany)	וולפנביטל (גרמניה)	1
Worms (Germany)	וורמס (גרמניה)	12
Wrocław (Poland)	ורוצלב (פולין)	40
Września (Województwo Wielkopolskie, Poland)	וז'אסנייה (פולין)	1
Wuppertal (Germany)	וופרטל (גרמניה)	1
Württemberg (Germany)	ווירטמברג	1
Würzburg (Germany)	וירצבורג (גרמניה)	6
Wysokie Mazowieckie (Poland)	ויסוקה מזוביצק (פולין)	1
Wyszogród (Poland)	וישוגרוד (פולין)	3
Yad Hanna (Israel)	יד חנה (ישראל)	1
Yad Mordekhai (Israel)	יד מרדכי (ישראל)	1
Yagur (Israel)	יגור (קבוץ)	6
Yas'ur (Galilee) (Israel)	יסעור (גליל) (ישראל)	1
Yavne (Israel)	יבנה (ישראל)	2
Yavne'el (Israel)	יבנאל (ישראל)	5
Yehud (Israel)	יהוד (ישראל)	3
Yemen (Republic)	תימן (רפובליקה)	2
Yifat (Israel)	יפעת (ישראל)	4
Yonkers (N.Y.)	יונקרס (ניו יורק)	1
Zabłudów (Poland)	זבלודוב (פולין)	1
Żabno (Województwo Małopolskie, Poland)	ז'אבנו (פולין)	1
Zabolotiv (Ukraine)	זבלוטוב (אוקראינה)	4
Zagreb (Croatia)	זגרב (קרואטיה)	2
Zakopane (Poland)	זקופנה (פולין)	2
Zakroczym (Poland)	זאקרוצ'ים (פולין)	1
Zakynthos (Greece)	זקינתוס (יוון)	1
Zaleshchiki (Ukraine)	זלישצ'יק (אוקראינה)	5
Zaliztsi (Ukraine)	זלוזיץ (אוקראינה)	2
Zambrów (Poland)	זאמברוב	1
Zamość (Poland)	זמושץ' (פולין)	12
Zandvoort (Netherlands)	זנדפורט (הולנד)	1
Zaragoza (Spain)	סרגוסה (ספרד)	4
Zarasai (Lithuania)	זרסי (ליטא)	1
Zaręby Kościelne (Poland)	זארבי קושצ'לנה (פולין)	1
Żarki (Poland)	ז'רקי (פולין)	1
Zarzis (Tunisia)	זרזיס (תוניסיה)	1
Zaslavlʹ (Belarus)	זסלבל (בלארוס)	1
Zawalów (Poland)	זאוואלוב (פולין)	1
Zboriv (Ukraine)	זבורוב (אוקראינה)	2
Zėlʹva (Belarus)	זלוה (בלארוס)	1
Zerbst (Germany)	צרבסט (גרמניה)	1
Zgierz (Poland)	זגירז' (פולין)	2
Zhytomyr (Ukraine)	זיטומיר (אוקראינה)	3
Zikhron Ya'akov (Israel)	זכרון יעקב (ישראל)	3
Zimbabwe	זימבבואה	1
Żółkiew (Poland)	ז'ולקייב (פולין)	18
Zolochiv (Lʹvivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז לביב, אוקראינה)	8
Żory (Poland)	צורי (פולין)	1
Zsámbék (Hungary)	זסמבק (הונגריה)	1
Zurich (Switzerland)	ציריך (שווייץ)	30
Zwoleń (Radom, Poland)	זוואלין (ראדום, פולין)	1
Zwolle (Netherlands)	זוולה (הולנד)	2
