placeName as written	Kima_Id	URI	Primary_Latin	Primary_Hebrew
Croydon (London, England)	11096	http://geo-kima.org/place/11096	Croydon (London, England)	קרוידון (לונדון, אנגליה)
Scranton (Pa.)	111	http://geo-kima.org/place/111	Scranton (Pa.)	סקרנטון (פנסילבניה)
Kutaisi (Georgia)	11105	http://geo-kima.org/place/11105	Kutaisi (Georgia)	קוטאיסי (גאורגיה)
Presov (Slovakia)	11110	http://geo-kima.org/place/11110	Presov (Slovakia)	פרשוב (סלובקיה)
Ulan-Udė (Russia)	11112	http://geo-kima.org/place/11112	Ulan-Udė (Russia)	אולן-אודה (רוסיה)
Barmbek (Hamburg, Germany)	11113	http://geo-kima.org/place/11113	Barmbek (Hamburg, Germany)	ברמבק (המבורג, גרמניה)
Ivanivka (Terebovli︠a︡nsʹkyĭ raĭon, Ukraine)	11119	http://geo-kima.org/place/11119	Ivanivka (Terebovli︠a︡nsʹkyĭ raĭon, Ukraine)	איווניבקה (מחוז טרנופול, אוקראינה)
Sighișoara (Romania)	11126	http://geo-kima.org/place/11126	Sighișoara (Romania)	סיגישוארה (רומניה)
Holland (Mich.)	11174	http://geo-kima.org/place/11174	Holland (Mich.)	הולנד (מישיגן)
Dra Wadi (Morocco)	1118	http://geo-kima.org/place/1118	Dra Wadi (Morocco)	וואדי דראע (מרוקו)
Manosque (France)	11181	http://geo-kima.org/place/11181	Manosque (France)	מנוסק (צרפת)
Saratov (Russia)	112	http://geo-kima.org/place/112	Saratov (Russia)	סרטוב (רוסיה)
Malden (Mass.)	11224	http://geo-kima.org/place/11224	Malden (Mass.)	מלדן (מסצ'וסטס)
Bochnia (Poland)	11230	http://geo-kima.org/place/11230	Bochnia (Poland)	בוכניה (פולין)
Uccle (Belgium)	11237	http://geo-kima.org/place/11237	Uccle (Belgium)	אוקל (בלגיה)
Bruchsal (Germany)	11243	http://geo-kima.org/place/11243	Bruchsal (Germany)	ברוכסאל (גרמניה)
Agrigento (Italy)	11249	http://geo-kima.org/place/11249	Agrigento (Italy)	אגריגנטו (איטליה)
Cernăuți (Romania)	11252	http://geo-kima.org/place/11252	Cernăuți (Romania)	צ'רנוביץ (רומניה)
Chełm (Lublin, Poland)	11264	http://geo-kima.org/place/11264	Chełm (Lublin, Poland)	חלם (לובלין, פולין)
Tupelo (Miss.)	11275	http://geo-kima.org/place/11275	Tupelo (Miss.)	טופלו (מיסיסיפי)
Hutchinson (Kan.)	11306	http://geo-kima.org/place/11306	Hutchinson (Kan.)	האצ'ינסון (קנזס)
Morton (Ill.)	11309	http://geo-kima.org/place/11309	Morton (Ill.)	מורטון (אילינוי)
Halifax (N.S.)	11310	http://geo-kima.org/place/11310	Halifax (N.S.)	הליפקס (נובה סקוטיה)
Emden (Lower Saxony, Germany)	11316	http://geo-kima.org/place/11316	Emden (Lower Saxony, Germany)	אמדן (סקסוניה תחתית, גרמניה)
Chęiny (Województwo Święokrzyskie, Poland)	11333	http://geo-kima.org/place/11333	Chęiny (Województwo Święokrzyskie, Poland)	חנטשין (קילצה, פולין)
Aden (Yemen)	11337	http://geo-kima.org/place/11337	Aden (Yemen)	עדן (תימן)
Barmen (Wuppertal, Germany)	11339	http://geo-kima.org/place/11339	Barmen (Wuppertal, Germany)	ברמן (וופרטל, גרמניה)
Belleville (N.J.)	11340	http://geo-kima.org/place/11340	Belleville (N.J.)	בלוויל (ניו ג'רזי)
Rhinebeck (N.Y.)	11351	http://geo-kima.org/place/11351	Rhinebeck (N.Y.)	ריינבק (ניו יורק)
Babylonia	11352	http://geo-kima.org/place/11352	Babylonia	בבל
Ruthenia (Czechoslovakia)	11354	http://geo-kima.org/place/11354	Ruthenia (Czechoslovakia)	רותניה (צ'כיה)
Catskill Mountains (N.Y.)	1137	http://geo-kima.org/place/1137	Catskill Mountains (N.Y.)	הרי קטסקיל (ניו יורק)
Grasse (France)	11372	http://geo-kima.org/place/11372	Grasse (France)	גראס (צרפת)
Törökszentmiklós (Hungary)	11375	http://geo-kima.org/place/11375	Törökszentmiklós (Hungary)	טרקסנטמיקלוש (הונגריה)
Caucasus	1138	http://geo-kima.org/place/1138	Caucasus	קוקז
Tuskegee (Ala.)	11383	http://geo-kima.org/place/11383	Tuskegee (Ala.)	טוסקגי (אלבמה)
Höxter (Germany)	11392	http://geo-kima.org/place/11392	Höxter (Germany)	הוקסטר (גרמניה)
Lesko (Poland)	11393	http://geo-kima.org/place/11393	Lesko (Poland)	לסקו (פולין)
Hopkinsville (Ky.)	11399	http://geo-kima.org/place/11399	Hopkinsville (Ky.)	הופקינסוויל (קנטקי)
Svaliava (Ukraine)	11417	http://geo-kima.org/place/11417	Svaliava (Ukraine)	סבליאבה (אוקראינה)
Lancaster (Calif.)	11421	http://geo-kima.org/place/11421	Lancaster (Calif.)	לנקסטר (קליפורניה)
Temple City (Calif.)	11422	http://geo-kima.org/place/11422	Temple City (Calif.)	טמפל סיטי (קליפורניה)
Escondido (Calif.)	11424	http://geo-kima.org/place/11424	Escondido (Calif.)	אסקונדידו (קליפורניה)
Wels (Austria)	11439	http://geo-kima.org/place/11439	Wels (Austria)	וולס (אוסטריה)
Neumünster (Schleswig-Holstein, Germany)	11440	http://geo-kima.org/place/11440	Neumünster (Schleswig-Holstein, Germany)	נוימינסטר (שלזוויג-הולשטיין, גרמניה)
Liberty (N.Y.)	11450	http://geo-kima.org/place/11450	Liberty (N.Y.)	ליברטי (ניו יורק)
Lemgo (Germany)	11454	http://geo-kima.org/place/11454	Lemgo (Germany)	למגו (גרמניה)
Volodymyr-Volynsʹkyĭ (Ukraine)	11456	http://geo-kima.org/place/11456	Volodymyr-Volynsʹkyĭ (Ukraine)	וולודימיר-ולינסקי (אוקראינה)
Lakewood (N.J.)	11469	http://geo-kima.org/place/11469	Lakewood (N.J.)	לייקווד (ניו ג'רזי)
Coburg (Germany)	11473	http://geo-kima.org/place/11473	Coburg (Germany)	קובורג (גרמניה)
Hidalgo del Parral (Mexico)	11497	http://geo-kima.org/place/11497	Hidalgo del Parral (Mexico)	הידאלגו דל פאראל (מקסיקו)
Hameln (Germany)	11498	http://geo-kima.org/place/11498	Hameln (Germany)	המלין (גרמניה)
Evron (Israel)	115	http://geo-kima.org/place/115	Evron (Israel)	עברון (ישראל)
Pekin (Ill.)	11506	http://geo-kima.org/place/11506	Pekin (Ill.)	פקין (אילינוי)
Arcadia (Calif.)	11516	http://geo-kima.org/place/11516	Arcadia (Calif.)	ארקדיה (קליפורניה)
Cheltenham (England)	11517	http://geo-kima.org/place/11517	Cheltenham (England)	צ'לטנהם (אנגליה)
Norwich (Conn.)	11522	http://geo-kima.org/place/11522	Norwich (Conn.)	נורויץ' (קונטיקט)
Ternopilʹ (Ukraine)	11525	http://geo-kima.org/place/11525	Ternopilʹ (Ukraine)	טרנופול (אוקראינה)
Vyborg (Russia)	11528	http://geo-kima.org/place/11528	Vyborg (Russia)	וויבורג (רוסיה)
Grodzisko (Poland)	11534	http://geo-kima.org/place/11534	Grodzisko (Poland)	גרודז'יסק (פולין)
Brieg (Germany)	11540	http://geo-kima.org/place/11540	Brieg (Germany)	בריג (גרמניה)
