placeName as written	Kima_Id	URI	Primary_Latin	Primary_Hebrew
Krzywcza (Poland)	27140	http://geo-kima.org/place/27140	Krzywcza (Poland)	קריפטש (פולין)
Pumpėnai (Lithuania)	27157	http://geo-kima.org/place/27157	Pumpėnai (Lithuania)	פומפיאן (ליטא)
Krasne (Ukraine)	27161	http://geo-kima.org/place/27161	Krasne (Ukraine)	קרסנה (אוקראינה)
Malyn (Rivnensʹka oblastʹ, Ukraine)	27167	http://geo-kima.org/place/27167	Malyn (Rivnensʹka oblastʹ, Ukraine)	מאלין (אוקראינה)
Mykolaïv (Ukraine)	27169	http://geo-kima.org/place/27169	Mykolaïv (Ukraine)	מיקולייב (אוקראינה)
Makariv (Ukraine)	27178	http://geo-kima.org/place/27178	Makariv (Ukraine)	מקריב (אוקראינה)
Tel Aviv (Israel)	272			
Fundukleevka (Ukraine)	27239	http://geo-kima.org/place/27239	Fundukleevka (Ukraine)	פונדאקליבקה (אוקראינה)
Lake District (England)	2733	http://geo-kima.org/place/2733	Lake District (England)	מחוז האגמים (אנגליה)
Telamim (Israel)	277	http://geo-kima.org/place/277	Telamim (Israel)	תלמים (ישראל)
Tlemcen (Algeria)	278	http://geo-kima.org/place/278	Tlemcen (Algeria)	תלמסן (אלג'יריה)
Sheluhot (Israel)	279	http://geo-kima.org/place/279	Sheluhot (Israel)	שלוחות (ישראל)
Szeged (Hungary)	28	http://geo-kima.org/place/28	Szeged (Hungary)	סגד (הונגריה)
Tel Adashim (Israel)	280	http://geo-kima.org/place/280	Tel Adashim (Israel)	תל עדשים (ישראל)
Chicago (Ill.)	282	http://geo-kima.org/place/282	Chicago (Ill.)	שיקגו (אילינוי)
Sede Eliyahu (Israel)	285	http://geo-kima.org/place/285	Sede Eliyahu (Israel)	שדה אליהו (ישראל)
Sede Boker (Israel)	286	http://geo-kima.org/place/286	Sede Boker (Israel)	שדה בוקר (ישראל)
Sede Nahum (Israel)	289	http://geo-kima.org/place/289	Sede Nahum (Israel)	שדה נחום (ישראל)
Nice (France)	29	http://geo-kima.org/place/29	Nice (France)	ניס (צרפת)
Sede Nehemya (Israel)	290	http://geo-kima.org/place/290	Sede Nehemya (Israel)	שדה נחמיה (ישראל)
Sedot Yam (Israel)	292	http://geo-kima.org/place/292	Sedot Yam (Israel)	שדות ים (ישראל)
Medina Azahàra (Extinct city)	2920	http://geo-kima.org/place/2920	Medina Azahàra (Extinct city)	מדינה אזהרה (עיר קדומה)
Siedlce (Poland)	294	http://geo-kima.org/place/294	Siedlce (Poland)	שדלץ (פולין)
Mycenae (Extinct city)	2941	http://geo-kima.org/place/2941	Mycenae (Extinct city)	מיקנה (עיר קדומה)
Middle East	2959	http://geo-kima.org/place/2959	Middle East	המזרח התיכון
Sederot (Israel)	296	http://geo-kima.org/place/296	Sederot (Israel)	שדרות (ישראל)
Negev (Israel)	2961	http://geo-kima.org/place/2961	Negev (Israel)	נגב (ישראל)
Shoval (Israel)	297	http://geo-kima.org/place/297	Shoval (Israel)	שובל (ישראל)
Šiauliai (Lithuania)	298	http://geo-kima.org/place/298	Šiauliai (Lithuania)	שול (ליטא)
Nitsanim (Israel)	3	http://geo-kima.org/place/3	Nitsanim (Israel)	ניצנים (ישראל)
Suwałki (Poland)	30	http://geo-kima.org/place/30	Suwałki (Poland)	סובלקי (פולין)
Sopron (Hungary)	301	http://geo-kima.org/place/301	Sopron (Hungary)	שופרון (הונגריה)
Stuttgart (Germany)	305	http://geo-kima.org/place/305	Stuttgart (Germany)	שטוטגרט (גרמניה)
Bukovina (Romania and Ukraine)	3056	http://geo-kima.org/place/3056	Bukovina (Romania and Ukraine)	בוקובינה (רומניה-אוקראינה)
Stupava (Slovakia)	306	http://geo-kima.org/place/306	Stupava (Slovakia)	שטומפה (סלובקיה)
Stettin (Germany)	307	http://geo-kima.org/place/307	Stettin (Germany)	שטטין (גרמניה)
Nitra (Slovakia)	31	http://geo-kima.org/place/31	Nitra (Slovakia)	ניטרה (סלובקיה)
Nablus (West Bank)	310	http://geo-kima.org/place/310	Nablus (West Bank)	שכם (גדה מערבית)
Tel Katsir (Israel)	311	http://geo-kima.org/place/311	Tel Katsir (Israel)	תל קציר (ישראל)
Gorizia (Italy)	315	http://geo-kima.org/place/315	Gorizia (Italy)	גוריציה (איטליה)
Göteborg (Sweden)	316	http://geo-kima.org/place/316	Göteborg (Sweden)	גוטברג (שבדיה)
Halych (Ukraine)	318	http://geo-kima.org/place/318	Halych (Ukraine)	האליץ (אוקראינה)
Hanau (Germany)	319	http://geo-kima.org/place/319	Hanau (Germany)	הנאו (גרמניה)
New York (N.Y.)	32	http://geo-kima.org/place/32	New York (N.Y.)	ניו יורק (נ.י.)
Harbin (China)	321	http://geo-kima.org/place/321	Harbin (China)	חרבין (סין)
Hatsor Ashdod (Israel)	323	http://geo-kima.org/place/323	Hatsor Ashdod (Israel)	חצור-אשדוד (ישראל)
Hierapolis (Turkey : Extinct city)	3237	http://geo-kima.org/place/3237	Hierapolis (Turkey : Extinct city)	היראפוליס (טורקיה : עיר קדומה)
Hlyni︠a︡ny (Ukraine)	328	http://geo-kima.org/place/328	Hlyni︠a︡ny (Ukraine)	גליניאני (אוקראינה)
Ne'ot Mordekhai (Israel)	33	http://geo-kima.org/place/33	Ne'ot Mordekhai (Israel)	נאות מרדכי (ישראל)
Hong Kong (China)	331	http://geo-kima.org/place/331	Hong Kong (China)	הונג קונג (סין)
Horodenka (Ukraine)	332	http://geo-kima.org/place/332	Horodenka (Ukraine)	הורודנקה (אוקראינה)
Humenné (Slovakia)	334	http://geo-kima.org/place/334	Humenné (Slovakia)	הומנה (סלובקיה)
Huncovce (Slovakia)	335	http://geo-kima.org/place/335	Huncovce (Slovakia)	אונסדורף (סלובקיה)
Husi︠a︡tyn (Ukraine)	336	http://geo-kima.org/place/336	Husi︠a︡tyn (Ukraine)	הוסיטין (אוקראינה)
Nasielsk (Poland)	34	http://geo-kima.org/place/34	Nasielsk (Poland)	נאשלסק (פולין)
Iṣfahān (Iran)	340	http://geo-kima.org/place/340	Iṣfahān (Iran)	איספהאן (איראן)
Gedera (Israel)	341	http://geo-kima.org/place/341	Gedera (Israel)	גדרה (ישראל)
Gan Yavne (Israel)	342	http://geo-kima.org/place/342	Gan Yavne (Israel)	גן יבנה (ישראל)
Tifrah (Israel)	345	http://geo-kima.org/place/345	Tifrah (Israel)	תפרח (ישראל)
Berez︠h︡any (Ukraine)	347	http://geo-kima.org/place/347	Berez︠h︡any (Ukraine)	בז'ז'ני (אוקראינה)
Negba (Israel)	35	http://geo-kima.org/place/35	Negba (Israel)	נגבה (ישראל)
Bila T︠S︡erkva (Ukraine)	350	http://geo-kima.org/place/350	Bila T︠S︡erkva (Ukraine)	בילה צרקווה (אוקראינה)
Bohuslav (Ukraine)	352	http://geo-kima.org/place/352	Bohuslav (Ukraine)	באהסליב (אוקראינה)
Bolekhiv (Ukraine)	353	http://geo-kima.org/place/353	Bolekhiv (Ukraine)	בוליחוב (אוקראינה)
Bombay (India)	354	http://geo-kima.org/place/354	Bombay (India)	בומבי (הודו)
Boryslav (Ukraine)	356	http://geo-kima.org/place/356	Boryslav (Ukraine)	בוריסלב (אוקראינה)
Brilon (Germany)	357	http://geo-kima.org/place/357	Brilon (Germany)	ברילון (גרמניה)
Reshafim (Israel)	358	http://geo-kima.org/place/358	Reshafim (Israel)	רשפים (ישראל)
Aphrodisias (Extinct city)	3597	http://geo-kima.org/place/3597	Aphrodisias (Extinct city)	אפרודיסיאס (עיר קדומה)
Buchach (Ukraine)	360	http://geo-kima.org/place/360	Buchach (Ukraine)	בוצ'ץ' (אוקראינה)
Buffalo (N.Y.)	361	http://geo-kima.org/place/361	Buffalo (N.Y.)	באפלו (ניו יורק)
Cremona (Italy)	364	http://geo-kima.org/place/364	Cremona (Italy)	קרמונה (איטליה)
Wales, South	3654	http://geo-kima.org/place/3654	Wales, South	ויילס הדרומית
Esslingen am Neckar (Germany)	368	http://geo-kima.org/place/368	Esslingen am Neckar (Germany)	אסלינגן אם נקאר (גמניה)
Volhynia (Ukraine)	3681	http://geo-kima.org/place/3681	Volhynia (Ukraine)	ווהלין (אוקראינה)
Brookline (Mass.)	373	http://geo-kima.org/place/373	Brookline (Mass.)	ברוקליין (מסצ'וסטס)
Rishpon (Israel)	375	http://geo-kima.org/place/375	Rishpon (Israel)	רשפון (ישראל)
Ra'ananna (Israel)	376	http://geo-kima.org/place/376	Ra'ananna (Israel)	רעננה (ישראל)
Tsefat (Israel)	377	http://geo-kima.org/place/377	Tsefat (Israel)	צפת (ישראל)
Nahalal (Israel)	38	http://geo-kima.org/place/38	Nahalal (Israel)	נהלל (ישראל)
Kevutsat Yavne (Israel)	380	http://geo-kima.org/place/380	Kevutsat Yavne (Israel)	קבוצת יבנה (ישראל)
Kėdainiai (Lithuania)	381	http://geo-kima.org/place/381	Kėdainiai (Lithuania)	קדאייני (ליטא)
Kaunas (Lithuania)	382	http://geo-kima.org/place/382	Kaunas (Lithuania)	קובנה (ליטא)
Kobryn (Belarus)	383	http://geo-kima.org/place/383	Kobryn (Belarus)	קוברין (בלארוס)
Kutno (Poland)	384	http://geo-kima.org/place/384	Kutno (Poland)	קוטנו (פולין)
Konin (Konin, Poland)	386	http://geo-kima.org/place/386	Konin (Konin, Poland)	קונין (קונין, פולין)
Constantine (Algeria)	387	http://geo-kima.org/place/387	Constantine (Algeria)	קונסטנטין (אלג'יריה)
Nahariyya (Israel)	39	http://geo-kima.org/place/39	Nahariyya (Israel)	נהריה (ישראל)
Copenhagen (Denmark)	390	http://geo-kima.org/place/390	Copenhagen (Denmark)	קופנהגן (דנמרק)
Kock (Poland)	391	http://geo-kima.org/place/391	Kock (Poland)	קוצק (פולין)
Curitiba (Brazil)	392	http://geo-kima.org/place/392	Curitiba (Brazil)	קוריטיבה (ברזיל)
Guanabara Bay (Brazil)	3924	http://geo-kima.org/place/3924	Guanabara Bay (Brazil)	מפרץ גואנאברה (ברזיל)
Košice (Slovakia)	393	http://geo-kima.org/place/393	Košice (Slovakia)	קושיצה (סלובקיה)
Casablanca (Morocco)	394	http://geo-kima.org/place/394	Casablanca (Morocco)	קזבלנקה (מרוקו)
Katowice (Poland)	395	http://geo-kima.org/place/395	Katowice (Poland)	קטוביץ (פולין)
Cape Town (South Africa)	397	http://geo-kima.org/place/397	Cape Town (South Africa)	קייפטאון (דרום אפריקה)
Kielce (Poland)	398	http://geo-kima.org/place/398	Kielce (Poland)	(קילץ (פולין
Chișinău (Moldova)	399	http://geo-kima.org/place/399	Chișinău (Moldova)	קישינב (מולדובה)
Cluj-Napoca (Romania)	400	http://geo-kima.org/place/400	Cluj-Napoca (Romania)	קלוז'-נאפוקה (רומניה)
Cleveland (Ohio)	402	http://geo-kima.org/place/402	Cleveland (Ohio)	קליבלנד (אוהיו)
Klaipėda (Lithuania)	403	http://geo-kima.org/place/403	Klaipėda (Lithuania)	קלייפדה (ליטא)
Sefrou (Morocco)	406	http://geo-kima.org/place/406	Sefrou (Morocco)	צפרו (מרוקו)
Philadelphia (Pa.)	408	http://geo-kima.org/place/408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)
Pinsk (Belarus)	409	http://geo-kima.org/place/409	Pinsk (Belarus)	פינסק (בלארוס)
Navahrudak (Belarus)	41	http://geo-kima.org/place/41	Navahrudak (Belarus)	נובהרדוק (בלארוס)
Florence (Italy)	411	http://geo-kima.org/place/411	Florence (Italy)	פירנצה (איטליה)
Plovdiv (Bulgaria)	412	http://geo-kima.org/place/412	Plovdiv (Bulgaria)	פלובדיב (בולגריה)
Płock (Poland)	413	http://geo-kima.org/place/413	Płock (Poland)	פלוצק (פולין)
Palmahim (Israel)	414	http://geo-kima.org/place/414	Palmahim (Israel)	פלמחים (ישראל)
Parod (Israel)	416	http://geo-kima.org/place/416	Parod (Israel)	פרוד (ישראל)
Prostějov (Czech Republic)	417	http://geo-kima.org/place/417	Prostějov (Czech Republic)	פרוסטיוב (צ'כיה)
Paris (France)	419	http://geo-kima.org/place/419	Paris (France)	פריס (צרפת)
Frysztak (Poland)	420	http://geo-kima.org/place/420	Frysztak (Poland)	פריסטיק (פולין)
Frankfurt am Main (Germany)	422	http://geo-kima.org/place/422	Frankfurt am Main (Germany)	פרנקפורט דמיין (גרמניה)
Ferrara (Italy)	423	http://geo-kima.org/place/423	Ferrara (Italy)	פררה (איטליה)
Przemyśl (Poland)	424	http://geo-kima.org/place/424	Przemyśl (Poland)	פשמישל (פולין)
Petahya (Israel)	425	http://geo-kima.org/place/425	Petahya (Israel)	פתחיה (ישראל)
Petah Tikva (Israel)	426	http://geo-kima.org/place/426	Petah Tikva (Israel)	פתח תקווה (ישראל)
Częstochowa (Poland)	427	http://geo-kima.org/place/427	Częstochowa (Poland)	צ'נסטוחובה (פולין)
Fraser River Valley (B.C.)	4295	http://geo-kima.org/place/4295	Fraser River Valley (B.C.)	עמק נהר פרייזר (בריטיש קולומביה)
Tsur Hadassa (Israel)	430	http://geo-kima.org/place/430	Tsur Hadassa (Israel)	צור הדסה (ישראל)
Tsur Moshe (Israel)	432	http://geo-kima.org/place/432	Tsur Moshe (Israel)	צור משה (ישראל)
Zurich (Switzerland)	434	http://geo-kima.org/place/434	Zurich (Switzerland)	ציריך (שווייץ)
Nowy Sącz (Poland)	435	http://geo-kima.org/place/435	Nowy Sącz (Poland)	צנז (פולין)
Kalisz (Poland)	436	http://geo-kima.org/place/436	Kalisz (Poland)	קליש (פולין)
Cologne (Germany)	437	http://geo-kima.org/place/437	Cologne (Germany)	קלן (גרמניה)
Cambridge (England)	438	http://geo-kima.org/place/438	Cambridge (England)	קמברידג' (אנגליה)
Rotterdam (Netherlands)	439	http://geo-kima.org/place/439	Rotterdam (Netherlands)	רוטרדם (הולנד)
Neve Ilan (Israel)	44	http://geo-kima.org/place/44	Neve Ilan (Israel)	נווה אילן (ישראל)
Rome (Italy)	440	http://geo-kima.org/place/440	Rome (Italy)	רומא (איטליה)
Roman (Romania)	441	http://geo-kima.org/place/441	Roman (Romania)	רומאן (רומניה)
Romny (Ukraine)	442	http://geo-kima.org/place/442	Romny (Ukraine)	רומני (אוקראינה)
Rostov (Russia)	443	http://geo-kima.org/place/443	Rostov (Russia)	רוסטוב (רוסיה)
Ruse (Bulgaria)	444	http://geo-kima.org/place/444	Ruse (Bulgaria)	רוסצ'וק (בולגריה)
Rochester (N.Y.)	445	http://geo-kima.org/place/445	Rochester (N.Y.)	רוצ'סטר (ניו יורק)
Rostock (Germany)	446	http://geo-kima.org/place/446	Rostock (Germany)	רושטוק (גרמניה)
Rio de Janeiro (Brazil)	448	http://geo-kima.org/place/448	Rio de Janeiro (Brazil)	ריו דה ז'ניירו (ברזיל)
Neve Etan (Israel)	45	http://geo-kima.org/place/45	Neve Etan (Israel)	נווה איתן (ישראל)
Rinnatya (Israel)	450	http://geo-kima.org/place/450	Rinnatya (Israel)	רינתיה (ישראל)
Rzeszów (Poland)	451	http://geo-kima.org/place/451	Rzeszów (Poland)	רישא (פולין)
Ramla (Israel)	456	http://geo-kima.org/place/456	Ramla (Israel)	רמלה (ישראל)
Ramat David (Israel)	457	http://geo-kima.org/place/457	Ramat David (Israel)	רמת דוד (ישראל)
Golan Heights (Israel)	458	http://geo-kima.org/place/458	Golan Heights (Israel)	רמת הגולן (ישראל)
Ramat Hakovesh (Israel)	459	http://geo-kima.org/place/459	Ramat Hakovesh (Israel)	רמת הכובש (ישראל)
Ramat Hashofet (Israel)	460	http://geo-kima.org/place/460	Ramat Hashofet (Israel)	רמת השופט (ישראל)
Ramat Hasharon (Israel)	461	http://geo-kima.org/place/461	Ramat Hasharon (Israel)	רמת השרון (ישראל)
Ramat Yohanan (Israel)	462	http://geo-kima.org/place/462	Ramat Yohanan (Israel)	רמת יוחנן (ישראל)
Ramat Rahel (Israel)	464	http://geo-kima.org/place/464	Ramat Rahel (Israel)	רמת רחל (ישראל)
Re'im (Israel)	465	http://geo-kima.org/place/465	Re'im (Israel)	רעים (ישראל)
Rhodes (Greece)	468	http://geo-kima.org/place/468	Rhodes (Greece)	רודוס (יוון)
Chemnitz (Germany)	470	http://geo-kima.org/place/470	Chemnitz (Germany)	קמניץ (גרמניה)
Shivta (Extinct city) (Israel)	4702	http://geo-kima.org/place/4702	Shivta (Extinct city) (Israel)	שבטה (עיר קדומה) (ישראל)
Kansas City (Mo.)	471	http://geo-kima.org/place/471	Kansas City (Mo.)	קנזס סיטי (מיזורי)
Kecskemét (Hungary)	472	http://geo-kima.org/place/472	Kecskemét (Hungary)	קצ'קמט (הונגריה)
Krotoszyn (Kalisz, Poland)	474	http://geo-kima.org/place/474	Krotoszyn (Kalisz, Poland)	קרוטושין (קליש, פולין)
Craiova (Romania)	475	http://geo-kima.org/place/475	Craiova (Romania)	קריובה (רומניה)
Kiryat Ono (Israel)	476	http://geo-kima.org/place/476	Kiryat Ono (Israel)	קרית אונו (ישראל)
Kiryat Ata (Israel)	477	http://geo-kima.org/place/477	Kiryat Ata (Israel)	קרית אתא (ישראל)
Kiryat Gat (Israel)	478	http://geo-kima.org/place/478	Kiryat Gat (Israel)	קרית גת (ישראל)
Kiryat Hayyim (Haifa, Israel)	479	http://geo-kima.org/place/479	Kiryat Hayyim (Haifa, Israel)	קרית חיים (חיפה, ישראל)
Kiryat Yam (Israel)	480	http://geo-kima.org/place/480	Kiryat Yam (Israel)	קרית ים (ישראל)
Kiryat Motzkin (Israel)	481	http://geo-kima.org/place/481	Kiryat Motzkin (Israel)	קרית מוצקין (ישראל)
Kiryat Mal'akhi (Israel)	482	http://geo-kima.org/place/482	Kiryat Mal'akhi (Israel)	קרית מלאכי (ישראל)
Kiryat Anavim (Israel)	484	http://geo-kima.org/place/484	Kiryat Anavim (Israel)	קרית ענבים (ישראל)
Kiryat Shemona (Israel)	485	http://geo-kima.org/place/485	Kiryat Shemona (Israel)	קרית שמונה (ישראל)
Karlsruhe (Germany)	486	http://geo-kima.org/place/486	Karlsruhe (Germany)	קרלסרוהה (גרמניה)
Karne Shomron (West Bank)	487	http://geo-kima.org/place/487	Karne Shomron (West Bank)	קרני שומרון (גדה מערבית)
Krasnobród (Poland)	488	http://geo-kima.org/place/488	Krasnobród (Poland)	קרסנוברוד (פולין)
Krakow (Poland)	489	http://geo-kima.org/place/489	Krakow (Poland)	קרקוב (פולין)
Köthen (Germany)	490	http://geo-kima.org/place/490	Köthen (Germany)	קתן (גרמניה)
Radzyń Podlaski (Poland)	491	http://geo-kima.org/place/491	Radzyń Podlaski (Poland)	ראדזין פודלסקי (פולין)
Rosh Ha'ayin (Israel)	492	http://geo-kima.org/place/492	Rosh Ha'ayin (Israel)	ראש העין (ישראל)
Rishon Letsiyon (Israel)	493	http://geo-kima.org/place/493	Rishon Letsiyon (Israel)	ראשון לציון (ישראל)
Reggio Emilia (Italy)	495	http://geo-kima.org/place/495	Reggio Emilia (Italy)	רג'יו (איטליה)
Regavim (Israel)	497	http://geo-kima.org/place/497	Regavim (Israel)	רגבים (ישראל)
Hefer Valley (Israel)	4986	http://geo-kima.org/place/4986	Hefer Valley (Israel)	עמק חפר (ישראל)
Kefar Pines (Israel)	499	http://geo-kima.org/place/499	Kefar Pines (Israel)	כפר פינס (ישראל)
Kefar Sirkin (Israel)	501	http://geo-kima.org/place/501	Kefar Sirkin (Israel)	כפר סירקין (ישראל)
Eschwege (Germany)	502	http://geo-kima.org/place/502	Eschwege (Germany)	אשווגה (גרמניה)
Athens (Greece)	505	http://geo-kima.org/place/505	Athens (Greece)	אתונה (יוון)
Baku (Azerbaijan)	507	http://geo-kima.org/place/507	Baku (Azerbaijan)	באקו (אזרביג'ן)
Be'er Toviyya (Israel)	509	http://geo-kima.org/place/509	Be'er Toviyya (Israel)	באר טוביה (ישראל)
Nehalim (Israel)	51	http://geo-kima.org/place/51	Nehalim (Israel)	נחלים (ישראל)
Buenos Aires (Argentina)	510	http://geo-kima.org/place/510	Buenos Aires (Argentina)	בואנוס איירס (ארגנטינה)
Poltava (Ukraine)	511	http://geo-kima.org/place/511	Poltava (Ukraine)	פולטבה (אוקראינה)
Babruĭsk (Belarus)	512	http://geo-kima.org/place/512	Babruĭsk (Belarus)	בוברויסק (בלארוס)
Budapest (Hungary)	513	http://geo-kima.org/place/513	Budapest (Hungary)	בודפסט (הונגריה)
Bologna (Italy)	514	http://geo-kima.org/place/514	Bologna (Italy)	בולוניה (איטליה)
Baltimore (Md.)	515	http://geo-kima.org/place/515	Baltimore (Md.)	בולטימור (מרילנד)
Boston (Mass.)	516	http://geo-kima.org/place/516	Boston (Mass.)	בוסטון (מסצ'וסטס)
Bukowsko (Poland)	517	http://geo-kima.org/place/517	Bukowsko (Poland)	בוקובסק (פולין)
Burgas (Bulgaria)	518	http://geo-kima.org/place/518	Burgas (Bulgaria)	בורגז (בולגריה)
Burgeta (Israel)	519	http://geo-kima.org/place/519	Burgeta (Israel)	בורגתה (ישראל)
Nahal Oz (Israel)	52	http://geo-kima.org/place/52	Nahal Oz (Israel)	נחל עוז (ישראל)
Bursa (Turkey)	520	http://geo-kima.org/place/520	Bursa (Turkey)	בורסה (תורכיה)
Basel (Switzerland)	521	http://geo-kima.org/place/521	Basel (Switzerland)	בזל (שווייץ)
Bitha (Israel)	522	http://geo-kima.org/place/522	Bitha (Israel)	בטחה (ישראל)
Białystok (Poland)	523	http://geo-kima.org/place/523	Białystok (Poland)	ביאליסטוק (פולין)
Baia Mare (Romania)	524	http://geo-kima.org/place/524	Baia Mare (Romania)	ביה מרה (רומניה)
Biłgoraj (Poland)	525	http://geo-kima.org/place/525	Biłgoraj (Poland)	בילגורי (פולין)
Stanislav (Ukraine)	526	http://geo-kima.org/place/526	Stanislav (Ukraine)	סטניסלב (אוקראינה)
Bielsko-Biała (Poland)	527	http://geo-kima.org/place/527	Bielsko-Biała (Poland)	ביליץ בילה (פולין)
Iberian Peninsula	5277	http://geo-kima.org/place/5277	Iberian Peninsula	חצי האי האיברי
Bielsk Podlaski (Poland)	528	http://geo-kima.org/place/528	Bielsk Podlaski (Poland)	בילסק (פולין)
Brooklyn (New York, N.Y.)	529	http://geo-kima.org/place/529	Brooklyn (New York, N.Y.)	ברוקלין (ניו יורק, נ.י.)
Ashdod (Israel)	531	http://geo-kima.org/place/531	Ashdod (Israel)	אשדוד (ישראל)
Istanbul (Turkey)	533	http://geo-kima.org/place/533	Istanbul (Turkey)	איסטנבול (תורכיה)
Irkutsk (Russia)	534	http://geo-kima.org/place/534	Irkutsk (Russia)	אירקוטסק (רוסיה)
Alabama	536	http://geo-kima.org/place/536	Alabama	אלבמה
Allone Abba (Israel)	540	http://geo-kima.org/place/540	Allone Abba (Israel)	אלוני אבא (ישראל)
Alonim (Israel)	542	http://geo-kima.org/place/542	Alonim (Israel)	אלונים (ישראל)
Amsterdam (Netherlands)	550	http://geo-kima.org/place/550	Amsterdam (Netherlands)	אמסטרדם (הולנד)
Opatów (Tarnobrzeg, Poland)	552	http://geo-kima.org/place/552	Opatów (Tarnobrzeg, Poland)	אפטה (פולין)
Afik (Israel)	553	http://geo-kima.org/place/553	Afik (Israel)	אפיק (ישראל)
Afikim (Israel)	554	http://geo-kima.org/place/554	Afikim (Israel)	אפיקים (ישראל)
Efrat (West Bank)	555	http://geo-kima.org/place/555	Efrat (West Bank)	אפרת (גדה מערבית)
Bethlehem (West Bank)	556	http://geo-kima.org/place/556	Bethlehem (West Bank)	בית לחם (גדה מערבית)
Akron (Ohio)	557	http://geo-kima.org/place/557	Akron (Ohio)	אקרון (אוהיו)
Erez (Israel)	558	http://geo-kima.org/place/558	Erez (Israel)	ארז (ישראל)
Nahshonim (Israel)	56	http://geo-kima.org/place/56	Nahshonim (Israel)	נחשונים (ישראל)
Bet Oren (Israel)	561	http://geo-kima.org/place/561	Bet Oren (Israel)	בית אורן (ישראל)
Rehovot (Israel)	562	http://geo-kima.org/place/562	Rehovot (Israel)	רחובות (ישראל)
Bet Alfa (Israel)	563	http://geo-kima.org/place/563	Bet Alfa (Israel)	בית אלפא (ישראל)
Bacău (Romania)	566	http://geo-kima.org/place/566	Bacău (Romania)	בקאו (רומניה)
Beclean (Romania)	568	http://geo-kima.org/place/568	Beclean (Romania)	בקליאן (רומניה)
Bardejov (Slovakia)	570	http://geo-kima.org/place/570	Bardejov (Slovakia)	ברדיוב (סלובקיה)
Berdychiv (Ukraine)	571	http://geo-kima.org/place/571	Berdychiv (Ukraine)	ברדיצ'ב (אוקראינה)
Brzeg Dolny (Poland)	573	http://geo-kima.org/place/573	Brzeg Dolny (Poland)	ברזג דולני (פולין)
Bratislava (Slovakia)	574	http://geo-kima.org/place/574	Bratislava (Slovakia)	ברטיסלבה (סלובקיה)
Brussels (Belgium)	575	http://geo-kima.org/place/575	Brussels (Belgium)	בריסל (בלגיה)
Brest (Belarus)	576	http://geo-kima.org/place/576	Brest (Belarus)	בריסק (בלארוס)
Berlin (Germany)	578	http://geo-kima.org/place/578	Berlin (Germany)	ברלין (גרמניה)
Leipzig (Germany)	579	http://geo-kima.org/place/579	Leipzig (Germany)	ליפציג (גרמניה)
Bremen (Germany)	580	http://geo-kima.org/place/580	Bremen (Germany)	ברמן (גרמניה)
Bar'am (Israel)	581	http://geo-kima.org/place/581	Bar'am (Israel)	ברעם (ישראל)
Barcelona (Spain)	582	http://geo-kima.org/place/582	Barcelona (Spain)	ברצלונה (ספרד)
Berkeley (Calif.)	583	http://geo-kima.org/place/583	Berkeley (Calif.)	ברקלי (קליפורניה)
Bat Hefer (Israel)	585	http://geo-kima.org/place/585	Bat Hefer (Israel)	בת חפר (ישראל)
Bat Yam (Israel)	586	http://geo-kima.org/place/586	Bat Yam (Israel)	בת ים (ישראל)
Jersey City (N.J.)	588	http://geo-kima.org/place/588	Jersey City (N.J.)	ג'רזי סיטי (ניו ג'רזי)
New Haven (Conn.)	59	http://geo-kima.org/place/59	New Haven (Conn.)	ניו הייבן (קונטיקט)
Bene Brak (Israel)	594	http://geo-kima.org/place/594	Bene Brak (Israel)	בני ברק (ישראל)
Bet Hashitta (Israel)	597	http://geo-kima.org/place/597	Bet Hashitta (Israel)	בית השיטה (ישראל)
Bet Zera (Israel)	599	http://geo-kima.org/place/599	Bet Zera (Israel)	בית זרע (ישראל)
Nir Gallim (Israel)	6	http://geo-kima.org/place/6	Nir Gallim (Israel)	ניר גלים (ישראל)
Riga (Latvia)	60	http://geo-kima.org/place/60	Riga (Latvia)	ריגה (לטביה)
Brixton (London, England)	6008	http://geo-kima.org/place/6008	Brixton (London, England)	בריקסטון (לונדון, אנגליה)
Nemyriv (Lʹvivsʹka oblastʹ, Ukraine)	6012	http://geo-kima.org/place/6012	Nemyriv (Lʹvivsʹka oblastʹ, Ukraine)	נמירוב (אוקראינה)
Püspökladány (Hungary)	6022	http://geo-kima.org/place/6022	Püspökladány (Hungary)	פישפוקלדן (הונגריה)
Pfersee (Augsburg, Germany)	6025	http://geo-kima.org/place/6025	Pfersee (Augsburg, Germany)	פפרסה (אוגסבורג, גרמניה)
Tecklenburg (Germany)	6040	http://geo-kima.org/place/6040	Tecklenburg (Germany)	טקלנבורג (גרמניה)
Bet Yits'hak (Israel)	605	http://geo-kima.org/place/605	Bet Yits'hak (Israel)	בית יצחק (ישראל)
Manākhah (Yemen)	6052	http://geo-kima.org/place/6052	Manākhah (Yemen)	מנאכה (תימן)
Ramat Aviv (Tel Aviv-Yafo, Israel)	6067	http://geo-kima.org/place/6067	Ramat Aviv (Tel Aviv-Yafo, Israel)	רמת אביב (תל אביב-יפו, ישראל)
Kos (Greece)	6074	http://geo-kima.org/place/6074	Kos (Greece)	קוס (יוון)
Dair el Asad (Israel)	6077	http://geo-kima.org/place/6077	Dair el Asad (Israel)	דיר אל-אסד (ישראל)
